,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,9.44,1.32,4.15,-0.11,0.06,-0.01
1,9.44,1.32,4.15,-0.11,0.06,-0.01
2,9.44,1.32,4.15,-0.11,0.06,-0.01
3,9.44,1.32,4.15,-0.11,0.06,-0.01
4,9.44,1.32,4.15,-0.11,0.06,-0.01
5,9.44,1.32,4.15,-0.11,0.06,-0.01
6,9.44,1.32,4.15,-0.11,0.06,-0.01
7,9.44,1.32,4.15,-0.11,0.06,-0.01
8,9.44,1.32,4.15,-0.11,0.06,-0.01
9,9.45,1.32,4.15,-0.11,0.06,-0.01
10,9.45,1.32,4.15,-0.11,0.06,-0.01
11,9.45,1.32,4.15,-0.11,0.06,-0.01
12,9.45,1.32,4.15,-0.11,0.06,-0.01
13,9.45,1.32,4.15,-0.11,0.06,-0.01
14,9.45,1.32,4.15,-0.11,0.06,-0.01
15,9.45,1.32,4.15,-0.11,0.06,-0.01
16,9.45,1.32,4.15,-0.11,0.06,-0.01
17,9.45,1.32,4.15,-0.11,0.06,-0.01
18,9.45,1.33,4.15,-0.11,0.06,-0.01
19,9.45,1.33,4.15,-0.11,0.06,-0.01
20,9.45,1.33,4.15,-0.11,0.06,-0.01
21,9.45,1.33,4.15,-0.11,0.06,-0.01
22,9.45,1.33,4.15,-0.11,0.06,-0.01
23,9.45,1.33,4.15,-0.11,0.06,-0.01
24,9.45,1.33,4.15,-0.11,0.06,-0.01
25,9.45,1.33,4.15,-0.11,0.06,-0.01
26,9.45,1.33,4.15,-0.11,0.06,-0.01
27,9.45,1.33,4.15,-0.11,0.06,-0.01
28,9.45,1.33,4.15,-0.11,0.06,-0.01
29,9.45,1.33,4.15,-0.11,0.06,-0.01
30,9.45,1.33,4.15,-0.11,0.06,-0.01
31,9.45,1.33,4.15,-0.11,0.06,-0.01
32,9.45,1.33,4.15,-0.11,0.06,-0.01
33,9.45,1.33,4.15,-0.11,0.06,-0.01
34,9.44,1.33,4.15,-0.11,0.06,-0.01
35,9.44,1.33,4.15,-0.11,0.06,-0.01
36,9.44,1.33,4.15,-0.11,0.06,-0.01
37,9.44,1.33,4.15,-0.11,0.06,-0.01
38,9.44,1.33,4.15,-0.11,0.06,-0.01
39,9.44,1.33,4.15,-0.11,0.06,-0.01
40,9.44,1.33,4.15,-0.11,0.06,-0.01
41,9.44,1.33,4.15,-0.11,0.06,-0.01
42,9.44,1.33,4.16,-0.11,0.06,-0.01
43,9.44,1.33,4.16,-0.11,0.06,-0.01
44,9.44,1.33,4.15,-0.11,0.06,-0.01
45,9.44,1.33,4.15,-0.11,0.06,-0.01
46,9.44,1.33,4.15,-0.11,0.06,-0.01
47,9.44,1.33,4.15,-0.11,0.06,-0.01
48,9.44,1.33,4.15,-0.11,0.06,-0.01
49,9.44,1.33,4.15,-0.11,0.06,-0.01
50,9.44,1.33,4.15,-0.11,0.06,-0.01
51,9.44,1.33,4.15,-0.11,0.06,-0.01
52,9.44,1.33,4.15,-0.11,0.06,-0.01
53,9.44,1.33,4.15,-0.11,0.06,-0.01
54,9.44,1.33,4.15,-0.11,0.06,-0.01
55,9.44,1.33,4.15,-0.11,0.06,-0.01
56,9.44,1.33,4.15,-0.11,0.06,-0.01
57,9.44,1.33,4.15,-0.11,0.06,-0.01
58,9.44,1.33,4.15,-0.11,0.06,-0.01
59,9.45,1.33,4.15,-0.11,0.06,-0.01
60,9.45,1.33,4.15,-0.11,0.06,-0.01
61,9.45,1.33,4.15,-0.11,0.06,-0.01
62,9.45,1.33,4.15,-0.11,0.06,-0.01
63,9.45,1.33,4.15,-0.11,0.06,-0.01
64,9.45,1.33,4.15,-0.11,0.06,-0.01
65,9.45,1.33,4.15,-0.11,0.06,-0.01
66,9.45,1.33,4.15,-0.11,0.06,-0.01
