,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.81,1.41,5.37,-0.11,0.06,-0.01
1,8.81,1.41,5.37,-0.11,0.06,-0.01
2,8.81,1.41,5.37,-0.11,0.06,-0.01
3,8.81,1.41,5.37,-0.11,0.06,-0.01
4,8.81,1.41,5.37,-0.11,0.06,-0.01
5,8.81,1.41,5.37,-0.11,0.06,-0.01
6,8.81,1.41,5.37,-0.11,0.06,-0.01
7,8.81,1.41,5.37,-0.11,0.06,-0.01
8,8.81,1.41,5.37,-0.11,0.06,-0.01
9,8.81,1.41,5.37,-0.11,0.06,-0.01
10,8.81,1.41,5.37,-0.11,0.06,-0.01
11,8.81,1.41,5.37,-0.11,0.06,-0.01
12,8.81,1.41,5.37,-0.11,0.06,-0.01
13,8.81,1.41,5.37,-0.11,0.06,-0.01
14,8.81,1.41,5.37,-0.11,0.06,-0.01
15,8.81,1.41,5.37,-0.11,0.06,-0.01
16,8.81,1.41,5.37,-0.11,0.06,-0.01
17,8.81,1.41,5.37,-0.11,0.06,-0.01
18,8.81,1.41,5.37,-0.11,0.06,-0.01
19,8.81,1.41,5.37,-0.11,0.06,-0.01
20,8.81,1.41,5.37,-0.11,0.06,-0.01
21,8.81,1.41,5.37,-0.11,0.06,-0.01
22,8.81,1.41,5.37,-0.11,0.06,-0.01
23,8.81,1.41,5.37,-0.11,0.06,-0.01
24,8.81,1.41,5.37,-0.11,0.06,-0.01
25,8.81,1.41,5.37,-0.11,0.06,-0.01
26,8.81,1.41,5.37,-0.11,0.06,-0.01
27,8.81,1.41,5.37,-0.11,0.06,-0.01
28,8.81,1.41,5.37,-0.11,0.06,-0.01
29,8.81,1.41,5.37,-0.11,0.06,-0.01
30,8.81,1.41,5.37,-0.11,0.06,-0.01
31,8.81,1.41,5.37,-0.11,0.06,-0.01
32,8.81,1.41,5.37,-0.11,0.06,-0.01
33,8.81,1.41,5.37,-0.11,0.06,-0.01
34,8.81,1.41,5.37,-0.11,0.06,-0.01
35,8.81,1.41,5.37,-0.11,0.06,-0.01
36,8.81,1.41,5.37,-0.11,0.06,-0.01
37,8.81,1.41,5.37,-0.11,0.06,-0.01
38,8.81,1.41,5.37,-0.11,0.06,-0.01
39,8.81,1.41,5.37,-0.11,0.06,-0.01
40,8.81,1.41,5.37,-0.11,0.06,-0.01
41,8.81,1.41,5.37,-0.11,0.06,-0.01
42,8.81,1.41,5.37,-0.11,0.06,-0.01
43,8.81,1.41,5.37,-0.11,0.06,-0.01
44,8.81,1.41,5.37,-0.11,0.06,-0.01
45,8.81,1.41,5.37,-0.11,0.06,-0.01
46,8.81,1.41,5.37,-0.11,0.06,-0.01
47,8.81,1.41,5.37,-0.11,0.06,-0.01
48,8.81,1.41,5.37,-0.11,0.06,-0.01
49,8.81,1.41,5.37,-0.11,0.06,-0.01
50,8.81,1.41,5.37,-0.11,0.06,-0.01
51,8.81,1.41,5.37,-0.11,0.06,-0.01
52,8.81,1.41,5.37,-0.11,0.06,-0.01
53,8.81,1.41,5.37,-0.11,0.06,-0.01
54,8.81,1.41,5.37,-0.11,0.06,-0.01
55,8.81,1.41,5.37,-0.11,0.06,-0.01
56,8.81,1.41,5.37,-0.11,0.06,-0.01
57,8.81,1.41,5.37,-0.11,0.06,-0.01
58,8.81,1.41,5.37,-0.11,0.06,-0.01
59,8.81,1.41,5.37,-0.11,0.06,-0.01
60,8.81,1.41,5.37,-0.11,0.06,-0.01
61,8.81,1.41,5.37,-0.11,0.06,-0.01
62,8.81,1.41,5.37,-0.11,0.06,-0.01
63,8.81,1.41,5.37,-0.11,0.06,-0.01
64,8.81,1.41,5.37,-0.11,0.06,-0.01
65,8.81,1.41,5.37,-0.11,0.06,-0.01
66,8.81,1.41,5.37,-0.11,0.06,-0.01
67,8.81,1.41,5.37,-0.11,0.06,-0.01
68,8.81,1.41,5.37,-0.11,0.06,-0.01
69,8.81,1.41,5.37,-0.11,0.06,-0.01
70,8.81,1.41,5.37,-0.11,0.06,-0.01
71,8.81,1.41,5.37,-0.11,0.06,-0.01
72,8.81,1.41,5.37,-0.11,0.06,-0.01
73,8.81,1.41,5.37,-0.11,0.06,-0.01
74,8.81,1.41,5.37,-0.11,0.06,-0.01
75,8.81,1.41,5.37,-0.11,0.06,-0.01
76,8.81,1.41,5.37,-0.11,0.06,-0.01
77,8.81,1.41,5.37,-0.11,0.06,-0.01
78,8.81,1.41,5.37,-0.11,0.06,-0.01
79,8.81,1.41,5.37,-0.11,0.06,-0.01
80,8.81,1.41,5.37,-0.11,0.06,-0.01
81,8.81,1.41,5.37,-0.11,0.06,-0.01
82,8.81,1.41,5.37,-0.11,0.06,-0.01
83,8.81,1.41,5.37,-0.11,0.06,-0.01
84,8.81,1.41,5.37,-0.11,0.06,-0.01
85,8.81,1.41,5.37,-0.11,0.06,-0.01
86,8.81,1.41,5.37,-0.11,0.06,-0.01
87,8.81,1.41,5.37,-0.11,0.06,-0.01
88,8.81,1.41,5.37,-0.11,0.06,-0.01
89,8.81,1.41,5.37,-0.11,0.06,-0.01
90,8.81,1.41,5.37,-0.11,0.06,-0.01
91,8.81,1.41,5.37,-0.11,0.06,-0.01
92,8.81,1.41,5.37,-0.11,0.06,-0.01
93,8.81,1.41,5.37,-0.11,0.06,-0.01
94,8.81,1.41,5.37,-0.11,0.06,-0.01
95,8.81,1.41,5.37,-0.11,0.06,-0.01
96,8.81,1.41,5.37,-0.11,0.06,-0.01
97,8.81,1.41,5.37,-0.11,0.06,-0.01
98,8.81,1.41,5.37,-0.11,0.06,-0.01
99,8.81,1.41,5.37,-0.11,0.06,-0.01
100,8.81,1.41,5.37,-0.11,0.06,-0.01
101,8.81,1.41,5.37,-0.11,0.06,-0.01
102,8.81,1.41,5.37,-0.11,0.06,-0.01
103,8.81,1.41,5.37,-0.11,0.06,-0.01
104,8.81,1.41,5.37,-0.11,0.06,-0.01
105,8.81,1.41,5.37,-0.11,0.06,-0.01
106,8.81,1.41,5.37,-0.11,0.06,-0.01
107,8.81,1.41,5.37,-0.11,0.06,-0.01
108,8.81,1.41,5.37,-0.11,0.06,-0.01
109,8.81,1.41,5.37,-0.11,0.06,-0.01
110,8.81,1.41,5.37,-0.11,0.06,-0.01
111,8.81,1.41,5.37,-0.11,0.06,-0.01
112,8.81,1.41,5.37,-0.11,0.06,-0.01
113,8.81,1.41,5.37,-0.11,0.06,-0.01
114,8.81,1.41,5.37,-0.11,0.06,-0.01
115,8.81,1.41,5.37,-0.11,0.06,-0.01
116,8.81,1.41,5.37,-0.11,0.06,-0.01
117,8.81,1.41,5.37,-0.11,0.06,-0.01
118,8.81,1.41,5.37,-0.11,0.06,-0.01
119,8.81,1.41,5.37,-0.11,0.06,-0.01
120,8.81,1.41,5.37,-0.11,0.06,-0.01
121,8.81,1.41,5.37,-0.11,0.06,-0.01
122,8.81,1.41,5.37,-0.11,0.06,-0.01
123,8.81,1.41,5.37,-0.11,0.06,-0.01
124,8.81,1.41,5.37,-0.11,0.06,-0.01
125,8.81,1.41,5.37,-0.11,0.06,-0.01
126,8.81,1.41,5.37,-0.11,0.06,-0.01
127,8.81,1.41,5.37,-0.11,0.06,-0.01
128,8.81,1.41,5.37,-0.11,0.06,-0.01
129,8.81,1.41,5.37,-0.11,0.06,-0.01
130,8.81,1.42,5.37,-0.11,0.06,-0.01
131,8.81,1.42,5.37,-0.11,0.05,-0.01
132,8.81,1.42,5.37,-0.11,0.05,-0.01
133,8.81,1.42,5.37,-0.11,0.05,-0.01
134,8.81,1.42,5.37,-0.11,0.05,-0.01
135,8.81,1.42,5.37,-0.11,0.05,-0.01
136,8.81,1.42,5.37,-0.11,0.05,-0.01
137,8.81,1.42,5.37,-0.11,0.05,-0.01
138,8.81,1.42,5.37,-0.11,0.05,-0.01
139,8.81,1.42,5.37,-0.11,0.05,-0.01
140,8.81,1.42,5.37,-0.11,0.05,-0.01
141,8.81,1.42,5.36,-0.11,0.05,-0.01
142,8.81,1.41,5.36,-0.11,0.05,-0.01
143,8.81,1.41,5.36,-0.11,0.05,-0.01
144,8.81,1.41,5.36,-0.11,0.05,-0.01
145,8.81,1.41,5.36,-0.11,0.05,-0.01
146,8.81,1.41,5.36,-0.11,0.05,-0.01
147,8.81,1.41,5.36,-0.11,0.05,-0.01
148,8.81,1.41,5.36,-0.11,0.05,-0.01
149,8.81,1.41,5.36,-0.11,0.05,-0.01
150,8.81,1.41,5.36,-0.11,0.05,-0.01
151,8.81,1.41,5.36,-0.11,0.05,-0.01
152,8.81,1.41,5.36,-0.11,0.05,-0.01
153,8.81,1.41,5.36,-0.11,0.05,-0.01
154,8.82,1.41,5.36,-0.11,0.05,-0.01
155,8.82,1.41,5.36,-0.11,0.05,-0.01
156,8.82,1.41,5.36,-0.11,0.05,-0.01
157,8.82,1.41,5.36,-0.11,0.05,-0.01
158,8.82,1.41,5.36,-0.11,0.05,-0.01
159,8.82,1.41,5.35,-0.11,0.05,-0.01
160,8.82,1.41,5.35,-0.11,0.06,-0.01
161,8.82,1.41,5.35,-0.11,0.06,-0.01
162,8.82,1.41,5.35,-0.11,0.06,-0.01
163,8.82,1.41,5.35,-0.11,0.06,-0.01
164,8.82,1.41,5.35,-0.11,0.06,-0.01
165,8.82,1.41,5.35,-0.11,0.06,-0.01
166,8.82,1.4,5.35,-0.11,0.06,-0.01
167,8.82,1.4,5.35,-0.11,0.06,-0.01
168,8.82,1.4,5.35,-0.11,0.06,-0.01
169,8.82,1.4,5.35,-0.11,0.06,-0.01
170,8.82,1.4,5.35,-0.11,0.06,-0.01
171,8.82,1.4,5.35,-0.11,0.06,-0.01
172,8.82,1.4,5.35,-0.11,0.06,-0.01
173,8.82,1.41,5.35,-0.11,0.06,-0.01
174,8.82,1.41,5.35,-0.11,0.06,-0.01
175,8.82,1.41,5.36,-0.11,0.06,-0.01
176,8.81,1.41,5.36,-0.11,0.06,-0.01
177,8.81,1.41,5.36,-0.11,0.06,-0.01
178,8.81,1.41,5.36,-0.11,0.06,-0.01
