,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
99,9.47,1.27,4.1,-0.11,0.06,-0.01
100,9.47,1.27,4.1,-0.11,0.06,-0.01
101,9.47,1.27,4.1,-0.11,0.06,-0.01
102,9.47,1.27,4.1,-0.11,0.06,-0.01
103,9.47,1.27,4.1,-0.11,0.06,-0.01
104,9.47,1.27,4.1,-0.11,0.06,-0.01
105,9.47,1.27,4.1,-0.11,0.06,-0.01
106,9.47,1.27,4.1,-0.11,0.06,-0.01
107,9.47,1.27,4.1,-0.11,0.06,-0.01
108,9.47,1.27,4.1,-0.11,0.06,-0.01
109,9.47,1.27,4.1,-0.11,0.06,-0.01
110,9.47,1.27,4.1,-0.11,0.06,-0.01
111,9.47,1.27,4.1,-0.11,0.06,-0.01
112,9.47,1.27,4.1,-0.11,0.06,-0.01
113,9.47,1.27,4.1,-0.11,0.06,-0.01
114,9.47,1.27,4.1,-0.11,0.06,-0.01
115,9.47,1.27,4.1,-0.11,0.06,-0.01
116,9.47,1.27,4.1,-0.11,0.06,-0.01
117,9.47,1.27,4.1,-0.11,0.06,-0.01
118,9.47,1.27,4.1,-0.11,0.06,-0.01
119,9.47,1.27,4.1,-0.11,0.06,-0.01
120,9.47,1.27,4.1,-0.11,0.06,-0.01
121,9.47,1.27,4.1,-0.11,0.06,-0.01
122,9.47,1.27,4.1,-0.11,0.06,-0.01
123,9.47,1.27,4.1,-0.11,0.06,-0.01
124,9.47,1.27,4.1,-0.11,0.06,-0.01
125,9.47,1.27,4.1,-0.11,0.06,-0.01
126,9.47,1.27,4.1,-0.11,0.06,-0.01
127,9.47,1.27,4.1,-0.11,0.06,-0.01
128,9.47,1.27,4.1,-0.11,0.06,-0.01
129,9.47,1.27,4.1,-0.11,0.06,-0.01
130,9.47,1.27,4.1,-0.11,0.06,-0.01
131,9.47,1.27,4.1,-0.11,0.06,-0.01
132,9.47,1.27,4.1,-0.11,0.06,-0.01
133,9.47,1.27,4.1,-0.11,0.06,-0.01
134,9.47,1.27,4.1,-0.11,0.06,-0.01
135,9.47,1.27,4.1,-0.11,0.06,-0.01
136,9.47,1.27,4.1,-0.11,0.06,-0.01
137,9.47,1.27,4.1,-0.11,0.06,-0.01
138,9.47,1.27,4.1,-0.11,0.06,-0.01
139,9.47,1.27,4.1,-0.11,0.06,-0.01
140,9.47,1.27,4.1,-0.11,0.06,-0.01
141,9.47,1.27,4.1,-0.11,0.06,-0.01
142,9.47,1.27,4.1,-0.11,0.06,-0.01
143,9.47,1.27,4.1,-0.11,0.06,-0.01
144,9.47,1.27,4.1,-0.11,0.06,-0.01
145,9.47,1.27,4.1,-0.11,0.06,-0.01
146,9.47,1.27,4.1,-0.11,0.06,-0.01
147,9.47,1.27,4.1,-0.11,0.06,-0.01
148,9.47,1.27,4.1,-0.11,0.06,-0.01
149,9.47,1.27,4.1,-0.11,0.06,-0.01
150,9.47,1.27,4.1,-0.11,0.06,-0.01
151,9.47,1.27,4.1,-0.11,0.06,-0.01
152,9.47,1.27,4.1,-0.11,0.06,-0.01
153,9.47,1.27,4.1,-0.11,0.06,-0.01
154,9.47,1.27,4.1,-0.11,0.06,-0.01
155,9.47,1.27,4.1,-0.11,0.06,-0.01
156,9.47,1.27,4.1,-0.11,0.06,-0.01
157,9.47,1.27,4.1,-0.11,0.06,-0.01
158,9.47,1.27,4.1,-0.11,0.06,-0.01
159,9.47,1.27,4.11,-0.11,0.06,-0.01
160,9.47,1.27,4.11,-0.11,0.06,-0.01
161,9.47,1.27,4.11,-0.11,0.06,-0.01
162,9.47,1.27,4.11,-0.11,0.06,-0.01
163,9.47,1.27,4.11,-0.11,0.06,-0.01
164,9.47,1.27,4.11,-0.11,0.06,-0.01
165,9.47,1.27,4.11,-0.11,0.06,-0.01
166,9.47,1.28,4.11,-0.11,0.06,-0.01
167,9.47,1.28,4.11,-0.11,0.06,-0.01
168,9.47,1.28,4.11,-0.11,0.06,-0.01
169,9.47,1.28,4.11,-0.11,0.06,-0.01
170,9.47,1.28,4.11,-0.11,0.06,-0.01
171,9.47,1.28,4.11,-0.11,0.06,-0.01
172,9.47,1.28,4.11,-0.11,0.06,-0.01
173,9.47,1.28,4.11,-0.11,0.06,-0.01
174,9.47,1.28,4.11,-0.11,0.06,-0.01
175,9.47,1.28,4.11,-0.11,0.06,-0.01
176,9.47,1.28,4.11,-0.11,0.06,-0.01
177,9.47,1.28,4.11,-0.11,0.06,-0.01
178,9.47,1.28,4.11,-0.11,0.06,-0.01
179,9.47,1.28,4.11,-0.11,0.06,-0.01
180,9.47,1.28,4.11,-0.11,0.06,-0.01
181,9.47,1.28,4.11,-0.11,0.06,-0.01
182,9.47,1.27,4.11,-0.11,0.06,-0.01
183,9.47,1.27,4.11,-0.11,0.06,-0.01
184,9.47,1.27,4.11,-0.11,0.06,-0.01
185,9.47,1.27,4.11,-0.11,0.06,-0.01
186,9.47,1.27,4.1,-0.11,0.06,-0.01
187,9.47,1.27,4.1,-0.11,0.06,-0.01
188,9.47,1.27,4.1,-0.11,0.06,-0.01
189,9.47,1.27,4.1,-0.11,0.06,-0.01
190,9.48,1.27,4.1,-0.11,0.06,-0.01
191,9.48,1.27,4.1,-0.11,0.06,-0.01
192,9.48,1.27,4.1,-0.11,0.06,-0.01
193,9.48,1.26,4.1,-0.11,0.06,-0.01
194,9.48,1.26,4.09,-0.11,0.06,-0.01
195,9.48,1.26,4.09,-0.11,0.06,-0.01
196,9.48,1.26,4.09,-0.11,0.06,-0.01
197,9.48,1.26,4.09,-0.11,0.06,-0.01
198,9.48,1.26,4.09,-0.11,0.06,-0.01
199,9.49,1.26,4.09,-0.11,0.06,-0.01
